week_start,spend_search,spend_social,spend_video,spend_tv,spend_affiliate,seasonality_index,economic_index,price_index,promo_events,organic_sessions,conversions,site_visits,revenue,total_spend,market,holiday_flag
2022-01-03,42755.48023942372,31405.712820230314,31494.63028823544,70107.07883028795,11430.979487415208,1.08,101.95287115849143,1.0117400218728902,0,222882.71424859643,2528,79000,530880,187193.88166559263,US,0
2022-01-10,45461.147795616795,40760.83071343281,35704.95286664447,60994.77602782586,12103.490734784953,1.110150197525787,96.46982834810805,1.0165043591544796,0,246217.157597207,2469,77156,518490,195025.19813830487,US,0
2022-01-17,46010.617927690546,29644.443854419336,35639.861956145236,66117.64503819305,17139.02893684176,1.1349034680636785,99.8848554082181,1.0065701308220487,0,251713.95407940337,2626,82062,551460,194551.59771328993,US,0
2022-01-24,51336.89357823531,29331.836518732933,34854.15898510961,76195.03419309527,15749.24514487271,1.1538405930004287,99.59088973301019,1.0222009633305156,1,248155.1691194864,2718,84938,570780,207467.16842004584,US,0
2022-01-31,65418.80057901757,30360.48558680055,36310.24458882768,67063.00708335938,14426.392115658851,1.1669058297699775,100.76989684655398,1.0205633793177975,0,255524.57094906198,2661,83156,558810,213578.92995366402,US,0
2022-02-07,45963.30042545036,33350.641973792204,46371.19428150914,51508.09986637545,15206.524279783616,1.174413348353141,99.47895944759813,1.017906611962386,2,267529.3259884909,2736,85500,574560,192399.7608269108,US,0
2022-02-14,62632.86764847827,27635.182878331667,35140.68514399719,57027.71506865929,13569.46182467264,1.177022211057153,100.68569796657621,1.0098192675379214,1,261263.21893616623,2676,83625,561960,196005.91256413906,US,0
2022-02-21,64638.72149733536,29391.099324524952,44594.25434419605,59582.38445245713,12287.720476510238,1.1756802926079502,101.36666467401247,1.0131095109145074,0,272625.8661329349,2694,84188,565740,210494.18009502374,US,0
2022-02-28,53923.468820587776,22036.896903480105,44603.90914695903,66263.58542917452,13222.775597274343,1.1715408934939502,97.71943995991063,1.01515248862208,0,247975.20339242907,2533,79156,531930,200050.63589747573,US,0
2022-03-07,51405.14261816203,25274.83233845372,36705.702143785034,58473.25976961884,14062.921396368947,1.1658588996157246,101.77910841208299,1.0165289591694524,0,244913.29146285646,2525,78906,530250,185921.85826638856,US,0
2022-03-14,58742.783754668126,25255.39177662146,37643.38944495336,73498.48933043871,10518.670203403819,1.1598758066703738,103.85163731689576,1.0174232573958866,2,265276.0879018605,2754,86062,578340,205658.7245100855,US,0
2022-03-21,63320.43826294633,24453.984687921053,38441.11321902267,58599.13320344967,10881.107193183241,1.1547044466482848,102.11376301555761,0.9994777402005168,0,241705.62312867862,2596,81125,545160,195695.77656652298,US,0
2022-03-28,78269.73516381295,27799.89518644257,35153.40335929172,74492.48152388998,10200.984729697682,1.1512246219625946,103.79467265085755,1.0058915494622125,0,263573.5353969304,2713,84781,569730,225916.49996313493,US,0
2022-04-04,69996.77470297672,33228.64240672124,41474.756144865416,56962.90811349314,12963.140730565183,1.1500000000000001,104.59521167060319,1.0027730599640068,0,252412.95984048015,2649,82781,556290,214626.2220986217,US,0
2022-04-11,74618.75918154867,28092.551297418384,37774.58975622367,72787.44302194592,15281.139243704885,1.1512246219625946,102.81750963665773,1.005949954079779,0,258767.15092313333,2704,84500,567840,228554.48250084152,US,0
2022-04-18,61498.91825358385,23670.955595843778,38473.77289197764,63908.02379283441,13055.757853779698,1.1547044466482848,103.10994258628375,1.0077264028837523,0,250554.86324910677,2643,82594,555030,200607.42838801938,US,0
2022-04-25,58991.62832599129,31319.755829996273,30732.016768739337,73911.81592959282,13530.083500301822,1.1598758066703738,103.26213413546083,1.017156323565958,1,263972.11630594364,2696,84250,566160,208485.30035462155,US,0
2022-05-02,53782.70103110046,31125.97210635055,38500.62595394587,78495.89316920964,12571.015878255788,1.1658588996157246,102.15290224054515,1.0041716504852392,1,267890.56088367203,2798,87438,587580,214476.2081388623,US,0
2022-05-09,48734.89607386065,23731.75375294521,33586.209590669765,77187.50851538521,15110.401826667503,1.1715408934939502,106.28008299809164,1.0081254174403005,0,268089.96153444785,2674,83562,561540,198350.76975952837,US,0
2022-05-16,54070.334887827295,31280.10157434706,48771.72002902737,71870.52480148202,13564.953226725635,1.1756802926079502,103.6667709296142,1.00307247133226,0,262690.3861948789,2700,84375,567000,219557.6345194094,US,0
2022-05-23,57751.53182429035,31450.39062370311,36020.17823109466,57876.223281045975,11967.354192804436,1.177022211057153,103.93668879195685,1.0012508747815838,2,246973.39304611005,2756,86125,578760,195065.67815293852,US,0
2022-05-30,47836.68697615422,33498.94574645756,37837.92355320859,57252.81995470971,11718.363902824656,1.174413348353141,104.60865475038176,1.0090642930347922,0,266654.56921084673,2499,78094,524790,188144.74013335473,US,0
2022-06-06,61316.03794450919,32798.13496233174,38273.56576085946,38204.27575498125,18940.93317475021,1.1669058297699775,105.46619247839098,0.9936647123982013,0,257413.43764581202,2656,83000,557760,189532.94759743186,US,0
